lon	lat	name	concello	origen
-8.22038749289567	43.56699829005009	Monte do Castro (Castro de Vilasuso)	Narón	holdout_68
-8.214396988420809	43.55274573295716	O Castro (Castro de Quintá)	Narón	holdout_68
-8.229105393271073	43.56083091186418	Castro da Pedreira	Narón	holdout_68
-8.22594601477777	43.57701844556937	Castro de Pena Lopesa	Narón	holdout_68
-8.171572505093756	43.47427554901182	Castro das Pías/Castro de Cardoeiro	Fene	holdout_68
-8.178759499653474	43.46407350807626	Castro de Barallobre	Fene	holdout_68
-8.147308718619547	43.45066167519628	Castro de Magalofes	Fene	holdout_68
-8.152626845317162	43.47117366486548	Castro de Orra	Fene	holdout_68
-8.181906273273144	43.445376672260515	Castro de Prismos	Fene	holdout_68
-8.186321260418124	43.42396916091138	Castro do Río Castro	Fene	holdout_68
-8.239830294287893	43.524029972263946	Monte do Castro/Castro de Vilela	Ferrol	holdout_68
-8.282642845995516	43.559082757693524	Necrópole de Santa Comba/Castro de Santa Comba	Ferrol	holdout_68
-8.231249927366063	43.514526844891975	Os Castros de Mandiá	Ferrol	holdout_68
-8.30888795518832	43.48731411879081	A Croa/Castro da Croa de Fontá	Ferrol	holdout_68
-8.242723079720715	43.48378570961132	Castro de Canido	Ferrol	holdout_68
-8.242683156451365	43.47962400888347	Castro de Ferrol Vello	Ferrol	holdout_68
-8.20836441392536	43.522706975089974	Castro de Leixa/A Croa de Leixa	Ferrol	holdout_68
-8.328772268544135	43.50827264612299	Castro de Lobariz	Ferrol	holdout_68
-8.249128691469277	43.539632953340096	Castro de Marmancón/Castro de Papoi	Ferrol	holdout_68
-8.199972868867611	43.51103121295041	Castro de Santa Cecilia	Ferrol	holdout_68
-8.225129699872348	43.49736219822805	Castro de Santa Mariña/Os Castros Altos	Ferrol	holdout_68
-8.267255436208933	43.531960897710164	Castro de Tralocastro	Ferrol	holdout_68
-8.261870362176957	43.50060487866211	Castro de Vilasanche	Ferrol	holdout_68
-8.242394964840896	43.47839760085566	Porta do Castro/Arco do Cristo	Ferrol	holdout_68
-8.222309428322422	43.543889071619255	As Croas	Narón	holdout_68
-8.1781798324184	43.544581317028644	O Castro	Narón	holdout_68
-8.104051749616847	43.53377786336151	Castro da Ermida	Narón	holdout_68
-8.11927005988558	43.5435880296391	Castro da Pereiruga	Narón	holdout_68
-8.157027013521557	43.539025818329826	Castro da Revolta	Narón	holdout_68
-8.130785103274073	43.553635249028005	Castro de Eiravedra	Narón	holdout_68
-8.17901516416762	43.501629521149226	Castro de Petouzal/Castro da Croa	Narón	holdout_68
-8.136844261989637	43.55153816561511	Castro de Santo Estevo	Narón	holdout_68
-8.133661544730217	43.551023008990136	Castro de Sedes/Castro de Eiravedra	Narón	holdout_68
