lon	lat	name	concello
-8.038523386590047	43.45780615212061	Castro da Porta/Castro do Cruceiro da Porta	A Capela
-8.273998198798784	43.439280742472306	Castro de Cervás	Ares
-8.235472413520352	43.432141319135845	Castro de Ares	Ares
-8.251694569152415	43.43119511649624	Castro de Lubre	Ares
-8.215345244214484	43.419705011173555	Castro de Punta Mourón ou Punta Caamouco	Ares
-8.205444887139212	43.437132129643814	A Roda do Castro	Ares
-8.109158752476185	43.446890233019	Castro de Piñeiros	Cabanas
-8.144222617396045	43.4333608211203	Monte Castro/Castro do Salto	Cabanas
-8.161348159610736	43.415955010505904	O Castro	Cabanas
-8.032183318220106	43.641604274162155	Castro As Croas	Cedeira
-8.055652580489099	43.6444923034954	Castro As Croas	Cedeira
-8.008367033203381	43.563007035877106	Castro de Casablanca	Moeche
-8.011257980527905	43.54947309374307	Castro de San Xoán A Costeira	Moeche
-8.120634633179096	43.419214115676795	Castro da Aurela	Pontedeume
-8.208733854064741	43.45940513929263	Castro das Escadas	Mugardos
-8.245062182862084	43.460156252164644	Castro de Mehá	Mugardos
-8.2622370311186	43.45820132683791	Castro de Mugardos	Mugardos
-8.203876962422491	43.445887464632115	Castro do Eixo	Mugardos
-8.240014290263431	43.45753376889759	O Castro	Mugardos
