lon	lat	name	concello
-8.67668488323407	42.24996219158143	Castro da Madroa	Vigo
-8.754617910656918	42.19539690216271	Castro de Casás/Monte do Castro	Vigo
-8.664047154059768	42.23710355876386	Castro de Codeside/Praza dos Mouros	Vigo
-8.735999604683526	42.202775463504956	Castro de Matamá/Os Castros	Vigo
-8.673946427832494	42.198913084352036	Castro de Xestoso/Monte do Castro	Vigo
-8.680278184764237	42.21190304243006	Castro do Monte Arieiro	Vigo
-8.701745333069383	42.25573032822939	Castro do Monte da Guía	Vigo
-8.804421495986924	42.313396725936485	Castro de Bon de Arriba/Monte Castro	Bueu
-8.782108869311909	42.309026397510245	Castro de Castrillón	Bueu
-8.778542042562826	42.320262327028345	Castro de Cividá	Bueu
-8.831521658296603	42.33938242169131	Castro de Udra	Bueu
-8.788917377230879	42.298430895397445	Castro Liboreiro e petróglifos	Bueu
-8.849945024785598	42.28935433386379	Castrelin	Cangas
-8.834203211871149	42.25484433687443	Castro da Eirexiña	Cangas
-8.823539380447379	42.262714037319874	Castro de Nerga	Cangas
-8.768337979817987	42.281085890792035	Castro de Pedralán	Cangas
-8.798872256204964	42.27067520289202	Castro do Castelo/Castro de Cimadevila	Cangas
-8.733455278924039	42.13456916440499	Castro da Matanza	Gondomar
-8.706925130760265	42.14086820190688	Castro do Galiñeiro	Gondomar
-8.727266487396795	42.372326935429655	Castro do Monte da Brea	Marín
-8.722068828543122	42.30317032873243	Castro das Cidades_As Cidades	Moaña
-8.670475676019063	42.2928169732572	Castro de Montealegre	Moaña
-8.733753313848094	42.2917660890378	Castro do Rosal	Moaña
-8.74872058051864	42.28702956906717	Monte do Castro	Moaña
-8.646073615211556	42.17062743757189	Castro das Pereiras/Os Castros/Os Crastros	Mos
-8.632076848393556	42.21405221668814	Castro de Dornelas/O Castro	Mos
-8.672480809062366	42.13849871391973	Castro de Erville/O Castriño de Nos	Mos
-8.643047748841928	42.19156139749307	Castro de Petelo/Monte do Castro	Mos
-8.62976679445658	42.196658476039524	Castro de Torroso/Castro do Retiro	Mos
-8.654555155998178	42.16228911067125	Os Castros	Mos
-8.754551083335828	42.16544732722304	Castro de Chandebrito	Nigrán
-8.795771719298983	42.16217062924698	Castro de Navás	Nigrán
-8.825421511681188	42.14348303979364	Castro de Panxón	Nigrán
-8.770677326556985	42.12867493384407	Castro de Parada/O Crasto	Nigrán
-8.625796047271727	42.26431284864294	Castro de Negros	Redondela
-8.642029544149638	42.34468995858715	Castro de Acuña/Monte da Croa	Vilaboa
-8.658052126547569	42.32543845503093	Castro de Cobres/O Coto	Vilaboa
