lon	lat	name	concello
-8.082110859326605	41.18043525188717	Castro de Santiago	Marco de Canaveses
-8.224212266123343	41.2079625826037	Vila Boa de Quires/Castro de Quires	Marco de Canaveses
-8.300503737412484	41.20175367961338	Castro de Santa Luzia	Penafiel
-8.655294925536976	41.69319543164157	Castro do Peso	Viana do Castelo
-8.78131746478362	41.76638007120772	Rego do Castro	Viana do Castelo
-8.83548341750965	41.70483909790075	Citânia de Santa Luzia	Viana do Castelo
-8.841525555112028	41.77358697068899	Castro de Agrichousa	Viana do Castelo
-8.647841654498016	41.647311670051444	Castro de Carmona / Povoado Fortificado de Carmona	Viana do Castelo
-8.746704319751457	41.71813265457155	Castro da Terronha	Viana do Castelo
-8.752964838213362	41.71935948487616	Castro de Cardielos - Monte	Viana do Castelo
-8.746620159531762	41.721914499712305	Castro de São Silvestre	Viana do Castelo
-8.854901932980411	41.78664831471218	Cividade de Âncora	Viana do Castelo
-8.779680820634956	41.72317357572957	Castro do Calvário	Viana do Castelo
-8.795349173477462	41.727585907665436	Castro de Vieito	Viana do Castelo
-8.255474654133364	41.67194317898581	Castro do Monte de São Miguel/ Cidadelhe	Amares
-8.410682554136201	41.61087465916701	Monte do Castro/ Castro do Lago	Amares
-8.314361657443198	41.67527241994533	Outeiro da Vila/ Castro de Seramil	Amares
-8.385068947301427	41.626685091198716	Torre do Castro/ Castelo do Castro/ Castro da Torre/ Solar do Castro/ Torre dos Machados	Amares
-8.374512028690974	41.64482375660884	Besteiros/ Castro do Gerês	Amares
-8.367672029587002	41.6483949657454	Chã do Castro/ Portela da Joubreia	Amares
-8.354297300085134	41.64870318535756	Castro de Caires / Castro de Gróvios	Amares
-8.361860851549643	41.65611305870837	Castelo do Espinho/ Castro de São Pedro Fins	Amares
-8.286487940291211	41.662954379161164	Castro de Outeiro	Amares
-8.634438152692013	41.59064893825962	Castro do Monte Castro/Monte do Castro	Barcelos
-8.67432271960183	41.62738226566458	Castro da Giesta	Barcelos
-8.659663620622398	41.63042664063062	Castro dos Castelos/ Castelo de Durrães	Barcelos
-8.617935115477943	41.62898475335738	Castro de São Simão	Barcelos
-8.429747845129045	41.54544202908791	Braga - Cividade	Braga
-8.429089023324988	41.54609898557247	Braga - Termas Romanas de Maximinos/ Alto da Cividade/ Colina de Maximinos	Braga
-8.38599776938608	41.54999275397385	Castro do Monte da Consolação	Braga
-8.428259611285663	41.56075203918984	Braga - Castro Máximo/ Monte do Castro	Braga
-8.4179196612204	41.58103628055815	Castro da Sola	Braga
-8.447139611486296	41.47408647498355	Castro do Monte Redondo/ Castro Monte Cossourado/ Castro de São Mamede	Braga
-8.44941806452	41.49944373429104	Castro das Lages	Braga
-8.281831529640154	41.58714595518124	Castro de Lanhoso/Estação lusitano-romana de Póvoa do Lanhoso	Póvoa de Lanhoso
-8.451266010517218	41.42930828189434	Castro e Castelo de Vermoim	Vila Nova de Famalicão
-8.44361112742367	41.43718056711798	Castro das Eiras/ Monte das Eiras	Vila Nova de Famalicão
-8.42629558848281	41.444609216739224	Cividade	Vila Nova de Famalicão
-8.52331208226176	41.45962693936316	Castro do Monte das Ermidas/ Castelo das Ermidas	Vila Nova de Famalicão
-8.393565660122807	41.689016912853376	Citânia de São Julião de Caldelas	Vila Verde
-8.37943060668501	41.70762445179446	Castro do Vairão	Vila Verde
-8.499588721468946	41.709284145844414	Castro de Sobradelo/Reduto	Vila Verde
-8.535870242490057	41.65091039124731	Castro de Escariz / São Ilus	Vila Verde
-8.470741462351	41.6534472603513	Castro do Barbudo/ Monte do Castelo	Vila Verde
-8.43787339234175	41.667508815405036	Monte de Santa Engrácia/ Castro Mau	Vila Verde
-6.8060670025937124	41.796567931916904	Torre Velha de Castro de Avelãs	Bragança
