dataset	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	wms_source	name	municipality	parish	morphology_proxy	negative_type	proposed_radius_m	feature_radius_m	probability	rank_desc_in_dataset	status	error
train_mini	wl-tile-v1-09842	wl-neg-neg-pt-dgpc-109485	neg-pt-dgpc-109485	0	hard_negative	train	PT	dgt_ortos2021_rgb	Abobeleira	Chaves	Vale de Anta		roman_built_context	80.0	120.0	0.45303535	610	ok	
train_mini	wl-tile-v1-09671	wl-neg-neg-pt-dgpc-113998	neg-pt-dgpc-113998	0	hard_negative	train	PT	dgt_ortos2021_rgb	Albergaria de Amarante	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		necropolis_or_burial	50.0	120.0	0.39762871	761	ok	
train_mini	wl-tile-v1-09786	wl-neg-neg-pt-dgpc-112388	neg-pt-dgpc-112388	0	hard_negative	train	PT	dgt_ortos2021_rgb	Almas 1	Paredes de Coura	Insalde e Porreiras		rock_art_surface	35.0	120.0	0.40461104	744	ok	
train_mini	wl-tile-v1-09787	wl-neg-neg-pt-dgpc-112389	neg-pt-dgpc-112389	0	hard_negative	train	PT	dgt_ortos2021_rgb	Almas 2	Paredes de Coura	Insalde e Porreiras		rock_art_surface	35.0	120.0	0.44339013	641	ok	
train_mini	wl-tile-v1-09789	wl-neg-neg-pt-dgpc-112391	neg-pt-dgpc-112391	0	hard_negative	train	PT	dgt_ortos2021_rgb	Almas 3	Paredes de Coura	Insalde e Porreiras		megalithic_mound	45.0	120.0	0.38974827	777	ok	
train_mini	wl-tile-v1-09860	wl-neg-neg-pt-dgpc-110210	neg-pt-dgpc-110210	0	hard_negative	train	PT	dgt_ortos2021_rgb	Alto da Raia	Montalegre	Tourém		roman_built_context	80.0	120.0	0.34424895	866	ok	
train_mini	wl-tile-v1-09839	wl-neg-neg-pt-dgpc-109328	neg-pt-dgpc-109328	0	hard_negative	train	PT	dgt_ortos2021_rgb	Alto do Circo/ Faiões	Chaves	Faiões		roman_built_context	80.0	120.0	0.27222043	936	ok	
train_mini	wl-tile-v1-09665	wl-neg-neg-pt-dgpc-105104	neg-pt-dgpc-105104	0	hard_negative	train	PT	dgt_ortos2021_rgb	Amarante - Calçada da Misericórdia	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		necropolis_or_burial;roman_built_context	80.0	120.0	0.36231580	834	ok	
train_mini	wl-tile-v1-09673	wl-neg-neg-pt-dgpc-114810	neg-pt-dgpc-114810	0	hard_negative	train	PT	dgt_ortos2021_rgb	Amarante - Ponte de Santa Luzia	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		roman_built_context	80.0	120.0	0.34228508	871	ok	
train_mini	wl-tile-v1-09533	wl-neg-neg-pt-dgpc-109231	neg-pt-dgpc-109231	0	hard_negative	train	PT	dgt_ortos2021_rgb	Anjo da Guarda São Miguel-o-Anjo	Amares	Ferreiros, Prozelo e Besteiros		roman_built_context	80.0	120.0	0.43791690	655	ok	
train_mini	wl-tile-v1-09859	wl-neg-neg-pt-dgpc-109575	neg-pt-dgpc-109575	0	hard_negative	train	PT	dgt_ortos2021_rgb	Antigo de Arcos/ Arcos-Miliário do Imperador Tibério	Montalegre	Cervos		roman_built_context	80.0	120.0	0.60056322	256	ok	
train_mini	wl-tile-v1-09626	wl-neg-neg-pt-dgpc-109367	neg-pt-dgpc-109367	0	hard_negative	train	PT	dgt_ortos2021_rgb	Arca	Vila Verde	Turiz		roman_built_context	80.0	120.0	0.34497177	864	ok	
train_mini	wl-tile-v1-09702	wl-neg-neg-pt-dgpc-104969	neg-pt-dgpc-104969	0	hard_negative	train	PT	dgt_ortos2021_rgb	Arcos	Maia	São Pedro Fins		megalithic_mound	45.0	120.0	0.47578151	540	ok	
train_mini	wl-tile-v1-09704	wl-neg-neg-pt-dgpc-106058	neg-pt-dgpc-106058	0	hard_negative	train	PT	dgt_ortos2021_rgb	Ardegães/ Bouça da Cova da Moura	Maia	Águas Santas		rock_art_surface	35.0	120.0	0.47662790	539	ok	
train_mini	wl-tile-v1-09595	wl-neg-neg-pt-dgpc-114655	neg-pt-dgpc-114655	0	hard_negative	train	PT	dgt_ortos2021_rgb	Assento	Terras de Bouro	Balança		necropolis_or_burial	50.0	120.0	0.31263861	912	ok	
train_mini	wl-tile-v1-09621	wl-neg-neg-pt-dgpc-107051	neg-pt-dgpc-107051	0	hard_negative	train	PT	dgt_ortos2021_rgb	Atalaia do Telhado	Vila Nova de Famalicão	Vermoim		historic_fortification	100.0	120.0	0.34882650	861	ok	
train_mini	wl-tile-v1-09664	wl-neg-neg-pt-dgpc-105070	neg-pt-dgpc-105070	0	hard_negative	train	PT	dgt_ortos2021_rgb	Ataúdes	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		necropolis_or_burial;roman_built_context	80.0	120.0	0.33142681	888	ok	
train_mini	wl-tile-v1-09809	wl-neg-neg-pt-dgpc-110401	neg-pt-dgpc-110401	0	hard_negative	train	PT	dgt_ortos2021_rgb	Barreira	Valença	Verdoejo		rock_art_surface	35.0	120.0	0.32654619	896	ok	
train_mini	wl-tile-v1-09774	wl-neg-neg-pt-dgpc-108421	neg-pt-dgpc-108421	0	hard_negative	train	PT	dgt_ortos2021_rgb	Borzendes 2	Paredes de Coura	Cossourado e Linhares		megalithic_mound	45.0	120.0	0.65316753	158	ok	
train_mini	wl-tile-v1-09675	wl-neg-neg-pt-dgpc-106379	neg-pt-dgpc-106379	0	hard_negative	train	PT	dgt_ortos2021_rgb	Bouça Chã	Felgueiras	Vila Cova da Lixa e Borba de Godim		necropolis_or_burial;roman_built_context	80.0	120.0	0.42393401	690	ok	
train_mini	wl-tile-v1-09542	wl-neg-neg-pt-dgpc-112403	neg-pt-dgpc-112403	0	hard_negative	train	PT	dgt_ortos2021_rgb	Bouça da Giesta	Barcelos	Quintiães e Aguiar		necropolis_or_burial	50.0	120.0	0.44834653	620	ok	
