osm_type	osm_id	negative_class	name	osm_tags	longitude	latitude
way	944179564	forest_track	Camiño da Seara	highway=track;surface=gravel	-8.2058047	43.4236627
way	275043151	forest_track		highway=track;surface=ground	-7.9605607	43.5588677
way	281437385	forest_track		highway=track;surface=ground	-7.9666719	43.6399304
way	50575574	forest_track	Camiño do Regueiro de Sedes	highway=track;surface=dirt	-8.1584781	43.543025
way	1122206053	forest_track	Camiño á Fábrica do Monte	highway=track;surface=ground	-8.156577	43.4868473
way	742141736	forest_track		highway=track;surface=unpaved	-8.065587	43.6757704
way	1193376902	forest_track		highway=track;surface=ground	-8.0037129	43.6877666
way	531424824	forest_track		highway=track;surface=ground	-8.2453959	43.4206183
way	426817758	forest_track		highway=track;surface=fine_gravel	-8.161738	43.4807614
way	281435063	forest_track		highway=track;surface=ground	-7.9702797	43.5535214
way	458507799	forest_track		highway=track;surface=unpaved	-8.281875	43.4663433
way	168658788	forest_track		highway=track;surface=fine_gravel	-8.1224678	43.5906705
way	40125821	forest_track	Camiño das Ánimas	highway=track;surface=dirt	-8.2447316	43.4451885
way	275110836	forest_track		highway=track;surface=gravel	-8.0129453	43.5779288
way	329423330	forest_track		highway=track;surface=ground	-7.9793384	43.5495011
way	112179427	forest_track		highway=track;surface=dirt	-8.1741399	43.5620535
way	275091533	forest_track		highway=track;surface=ground	-8.0022541	43.5845166
way	174005256	forest_track		highway=track;surface=dirt	-8.2001321	43.5915328
way	1210514016	forest_track	Camiño do Marco Da San Lorenzo	highway=track;surface=dirt	-8.1711838	43.439565
way	495043329	forest_track		highway=track;surface=unpaved	-8.0281337	43.5456567
way	40125822	forest_track		highway=track;surface=gravel	-8.2433487	43.448544
way	921978340	forest_track		highway=track;surface=ground	-7.998502	43.5444679
way	1121661003	forest_track	Camiño de Marraxón a Chao de Lotedo	highway=track;surface=ground	-8.1371789	43.4860851
way	316234779	forest_track		highway=track;surface=ground	-8.0013107	43.5675419
way	1123719260	forest_track		highway=track;surface=ground	-8.1521636	43.4815876
way	324184812	forest_track		highway=track;surface=ground	-8.0878476	43.639686
way	329377714	forest_track		highway=track;surface=ground	-8.0163708	43.5405217
way	702271242	forest_track		highway=track;surface=ground	-8.240695	43.4448301
way	50576287	forest_track		highway=track;surface=dirt	-8.1532281	43.5433948
way	33909337	forest_track		highway=track;surface=dirt	-8.2614121	43.5528464
way	549589247	forest_track		highway=track;surface=ground	-8.1543626	43.4672447
way	36781717	forest_track		highway=track;surface=gravel	-8.1451411	43.5380881
way	1124616514	forest_track		highway=track;surface=ground	-8.1513678	43.4669914
way	159764238	forest_track		highway=track;surface=dirt	-8.2353148	43.5151339
way	329368629	forest_track		highway=track;surface=ground	-7.9771428	43.5388363
way	274121441	forest_track		highway=track;surface=ground	-8.1220261	43.6417503
way	1122847784	forest_track		highway=track;surface=ground	-8.146612	43.4877951
way	40025034	forest_track		highway=track;surface=unpaved	-8.246808	43.4500383
way	1123719261	forest_track		highway=track;surface=ground	-8.1543985	43.4822924
way	1279374962	forest_track		highway=track;surface=dirt	-8.0691202	43.5542484
way	874890055	forest_track		highway=track;surface=dirt	-8.1676518	43.5525904
way	311440729	forest_track		highway=track;surface=ground	-7.9452984	43.6487726
way	222653301	forest_track		highway=track;surface=dirt	-8.1223734	43.5941118
way	618743658	forest_track		highway=track;surface=unpaved	-8.2321176	43.4537899
way	207222134	forest_track		highway=track;surface=dirt	-8.2321002	43.5308118
way	40022798	forest_track		highway=track;surface=dirt	-8.2391858	43.4428051
way	464939640	forest_track		highway=track;surface=unpaved	-7.9593751	43.5712219
way	657050039	forest_track		highway=track;surface=ground	-8.020067	43.4556145
way	526962270	forest_track		highway=track;surface=ground	-8.152467	43.4878616
way	618743648	forest_track		highway=track;surface=unpaved	-8.1973836	43.4435354
way	329372448	forest_track		highway=track;surface=ground	-7.9962567	43.5432956
way	214244012	forest_track		highway=track;surface=fine_gravel	-8.1817298	43.5942034
way	220234067	forest_track		highway=track;surface=ground	-8.3082743	43.451088
way	329373421	forest_track		highway=track;surface=ground	-8.0010819	43.5418581
way	281198042	forest_track		highway=track;surface=gravel	-7.9938933	43.6348967
way	274139494	forest_track		highway=track;surface=ground	-8.1232857	43.639049
way	329372392	forest_track		highway=track;surface=ground	-7.9918102	43.5422956
way	1086306203	forest_track		highway=track;surface=unpaved	-8.0611577	43.6772227
way	275091528	forest_track		highway=track;surface=gravel	-7.9958334	43.5831752
way	656961313	forest_track		highway=track;surface=unpaved	-8.0247574	43.4297973
way	281277084	forest_track		highway=track;surface=ground	-7.9892186	43.556476
way	526858498	forest_track		highway=track;surface=dirt	-8.1314801	43.4774616
way	656961323	forest_track		highway=track;surface=unpaved	-8.0069688	43.4571988
way	329368686	forest_track		highway=track;surface=ground	-7.9772898	43.5411189
way	245898333	forest_track		highway=track;surface=ground	-8.2960021	43.4364444
way	281662116	forest_track		highway=track;surface=ground	-7.9557654	43.6100606
way	298273376	forest_track		highway=track;surface=dirt	-8.1947709	43.5117499
way	281662119	forest_track		highway=track;surface=ground	-7.9650122	43.6063891
way	737723946	forest_track		highway=track;surface=gravel	-8.207117	43.5920331
way	526785570	forest_track	Camiño de Marraxón a Chao de Lotedo	highway=track;surface=ground	-8.140816	43.4864868
way	176247574	forest_track		highway=track;surface=fine_gravel	-8.2144552	43.5829414
way	44068785	forest_track	Paseo da Lagoa	highway=track;surface=gravel	-8.1544586	43.6020267
way	656852951	forest_track		highway=track;surface=unpaved	-8.0728336	43.4254672
way	280492123	forest_track		highway=track;surface=ground	-7.9710625	43.5812934
way	1201039556	forest_track		highway=track;surface=dirt	-8.1963056	43.5124801
way	281672709	forest_track		highway=track;surface=ground	-8.0290239	43.6311242
way	1096900042	forest_track		highway=track;surface=ground	-7.9762642	43.5457343
way	329372012	forest_track		highway=track;surface=ground	-7.98492	43.5395755
way	281435065	forest_track		highway=track;surface=ground	-7.975775	43.5555192
way	290529345	forest_track		highway=track;surface=dirt	-8.2374958	43.4418375
way	784828546	forest_track		highway=track;surface=ground	-7.9867088	43.5425443
way	159764157	forest_track		highway=track;surface=dirt	-8.2340249	43.5227979
